,zero_count,non_zero_count,zero_percentage,min,max,mean,median
Smooth-billed Ani,115425.0,107.0,99.90738496693557,0.0,277.0,0.008387286216020584,0.0
Snow Goose,115300.0,232.0,99.79918983485095,0.0,44.0,0.006682131439447403,0.0
Snowy Egret,109772.0,5760.0,95.01436831354084,0.0,53.0,0.1210833340883255,0.0
Snowy Plover,107958.0,7574.0,93.44424055672887,0.0,110.0,0.20354533195495605,0.0
Solitary Sandpiper,115478.0,54.0,99.95325970293945,0.0,5.0,0.0006491707754321396,0.0
Song Sparrow,115183.0,349.0,99.69791919121975,0.0,22.0,0.008759478107094765,0.0
Sooty Shearwater,107708.0,7824.0,93.22785029255964,0.0,375.0,0.3209846615791321,0.0
Sooty Tern,115521.0,11.0,99.99047882837655,0.0,1.0,9.521171887172386e-05,0.0
Sora,115422.0,110.0,99.90478828376553,0.0,22.0,0.001930201193317771,0.0
South Polar Skua,115115.0,417.0,99.63906103936571,0.0,75.0,0.015268497169017792,0.0
Spotted Sandpiper,114647.0,885.0,99.23397846484092,0.0,48.0,0.02689298242330551,0.0
Sprague's Pipit,114966.0,566.0,99.51009244192085,0.0,8.0,0.007694837637245655,0.0
Stilt Sandpiper,115305.0,227.0,99.80351764013433,0.0,4.0,0.002293736906722188,0.0
