,Reddish Egret,Dark-eyed Junco,Graylag Goose,Fish Crow,White-winged Scoter,Golden-winged Warbler,Orange-crowned Warbler,American Redstart,Least Flycatcher,Dunlin,American Avocet,Baltimore Oriole,Short-billed Dowitcher,Great Blue Heron,Common Gallinule,Yellow-crowned Night Heron,Neotropic Cormorant,Horned Grebe,Horned Lark,Monk Parakeet,Canvasback,Northern Harrier,Blackpoll Warbler,European Starling,Brown Thrasher,Downy Woodpecker,Bullock's Oriole,Cape May Warbler,Cerulean Warbler,American Crow,Dickcissel,Brown Noddy,Great Black-backed Gull,Eastern Phoebe,Caspian Tern,Red Junglefowl,Royal Tern,Blue Grosbeak,Ross's Goose,Black-and-white Warbler,Tropical Kingbird,Purple Finch,Eastern Kingbird,Indigo Bunting,Acadian Flycatcher,Red-eyed Vireo,Solitary Sandpiper,Gull-billed Tern,Nashville Warbler,Black-headed Gull,Little Blue Heron,Warbling Vireo,Black-whiskered Vireo,Brown Pelican,Fox Sparrow,Black Scoter,Gray-cheeked Thrush,Grasshopper Sparrow,Field Sparrow,Hairy Woodpecker,Long-billed Dowitcher,Sandwich Tern,Lesser Yellowlegs,White-throated Sparrow,Bald Eagle,Bridled Tern,Groove-billed Ani,Killdeer,Allen's Hummingbird,Hooded Warbler
Black-headed Gull,6.1533565993904285e-12,9.005444579513371e-15,1.6418787936522248e-12,9.502212338249507e-10,5.275725132862659e-09,1.9152141014701554e-10,1.1032373299210011e-11,2.4296178331779173e-09,1.4618484082887595e-08,8.866889344090264e-09,2.707256343994769e-10,1.7690059851728819e-12,4.9825487558886594e-11,1.1437659610958237e-13,9.342946819532931e-14,1.56650877520413e-14,8.335084672134071e-14,3.5201511512180335e-12,8.878405569767004e-13,7.767041299844331e-14,1.613423395689862e-12,6.005133998017519e-13,1.332779919012765e-13,8.073161916704186e-14,4.904814252012998e-11,3.355766294933022e-13,3.4499600452725684e-13,7.984114175383525e-14,3.131023914266231e-11,4.047980095267209e-12,7.617205889817125e-12,2.870143169630838e-11,1.7537813745501677e-09,7.223948558492717e-11,1.1720855808693943e-11,2.9155881222717352e-12,1.3799855403575667e-11,4.912652055615114e-10,2.46739654843505e-10,8.28462713425131e-14,9.845192390435139e-13,7.743521968808999e-11,1.2993495470476516e-10,3.3741101653854077e-12,4.402398040238231e-05,1.808353531767624e-05,5.0253640408896894e-05,2.1391160931490924e-05,5.5994564266178886e-05,0.0,4.506638115035501e-05,2.6012194449228323e-05,2.874792316769237e-05,4.627321004283247e-05,8.27986367456529e-06,2.1183008169203724e-05,2.2722242358392676e-05,3.8835043174841486e-05,1.9139274988509344e-05,2.1965682407523495e-05,4.9996074052209637e-05,8.228406174332076e-06,2.554977082044793e-05,1.1739120181839772e-05,1.4190119142897257e-05,1.2261089913596527e-05,5.4214539047838565e-05,2.35943094680848e-05,1.1881747017186104e-05,4.477161994873084e-05
Little Blue Heron,8.176482323577226e-12,8.970777629663604e-14,4.146366048963694e-12,1.0641550324089025e-09,1.8897579997030803e-09,1.0264339994600276e-09,1.415277324215538e-11,4.230829689100626e-09,9.726951297245842e-09,1.158759651663974e-08,1.0681317956791508e-09,9.03462817064187e-12,2.8781320878383387e-10,1.496576480240688e-12,9.643101672855017e-14,2.4560133605458617e-14,1.3899546097252668e-13,3.86190699632296e-12,1.2856249447024825e-12,1.8744369627342565e-13,3.982471418389764e-12,1.2467477774734062e-12,5.089430851335461e-13,6.949360784279101e-13,9.564186104992848e-11,6.2187279117985e-13,2.296800151432362e-12,2.8787447689199533e-13,6.082009245027104e-11,2.3353318500312117e-11,1.3708126101867723e-11,4.606686942217196e-11,1.443572069580921e-08,1.474536263991653e-09,1.325666695609417e-11,2.128178228044376e-12,7.64201784987063e-12,1.2481240160788994e-09,6.109736782435142e-10,1.4300335753781606e-12,5.426078833488097e-12,5.766550103121095e-11,8.889895628376883e-10,2.0139553272143812e-11,4.2282038023162756e-05,2.023650336845632e-05,1.483798543610558e-05,4.084178888300053e-05,1.4775544167303347e-05,4.506638115035501e-05,0.0,1.820614968109326e-05,2.8464197221476743e-05,3.259984449451834e-05,4.0874113908421116e-05,2.2556500906932708e-05,1.6195843907975595e-05,1.40265432936043e-05,2.3795165678956352e-05,9.22103704848533e-06,2.418120928478453e-05,3.608736529586156e-05,5.119640343827847e-05,1.596387646893539e-05,5.717433927432982e-06,9.108400697515861e-06,8.743270844129514e-06,1.5043549591821065e-05,1.1317128347603758e-05,1.2982634709426332e-05
Warbling Vireo,1.6921141336682624e-11,2.7398600229932966e-14,5.001406238822231e-12,1.0966037142355704e-09,1.533892860993693e-08,1.186031500561533e-10,3.646761854270814e-11,3.847409193131612e-09,1.7891626380305146e-08,2.791306683047532e-08,1.964790695964429e-09,8.971935227579667e-12,6.873173845665989e-10,5.063107083548395e-13,2.0115742760525292e-13,2.425154854896939e-14,1.1763522036071317e-13,2.7901257794069973e-12,9.6596243095424e-13,1.7840783379846047e-13,3.600828286810393e-12,1.0831323718328323e-12,8.531836703727444e-13,3.056971458233653e-13,1.139271942966754e-10,2.5876320916010413e-13,6.31967034624044e-13,1.9222629382697756e-13,4.563137593678861e-11,8.158320874949429e-12,1.1730582864182391e-11,2.1249054629924675e-11,3.227488729885369e-09,5.877805361995053e-10,3.881309347737313e-11,2.454413454607974e-12,2.4043271650665498e-11,3.53401865576379e-10,9.728186095169627e-10,3.959991938664309e-13,1.9114845200635667e-12,1.0298605164865483e-10,4.714955772737795e-10,2.3017067877883913e-11,2.3374490749136136e-05,7.312747129160472e-06,4.8273984151902594e-05,2.3542944544912265e-05,3.1996878158393716e-05,2.6012194449228323e-05,1.820614968109326e-05,0.0,5.769286136089431e-05,3.181824790485241e-05,1.4674919479255622e-05,1.9686127859249427e-05,2.7984430291687252e-05,5.570409257541173e-06,3.5531748674254274e-05,5.527772863708582e-06,1.256383164874058e-05,1.795718498113709e-05,3.721232183627552e-05,1.7000997134645825e-05,1.2283263396581856e-05,3.4509865476493096e-05,4.670542986431572e-06,1.0607907391888043e-05,2.0105469574991143e-05,9.06046659135399e-06
Black-whiskered Vireo,1.7846891239548388e-11,1.010141779271924e-13,3.322814731279463e-11,2.7894264873603114e-09,8.398441476642211e-09,5.326949361076075e-10,6.440146799438386e-11,6.323260460668146e-09,1.3673468139876137e-08,1.0636296333853567e-07,5.122025901735797e-09,1.7629823556496426e-11,7.679607902407633e-10,6.250336228028266e-13,9.411544892545828e-13,3.581694091684424e-13,3.5741036800914965e-13,6.962099933947948e-12,2.8764245259379034e-12,9.474081844786368e-13,4.489668408675536e-12,3.441963739901015e-12,9.38511838642921e-13,1.8829920387168382e-12,1.535431186117392e-10,1.4286432917067227e-12,3.8472525773088385e-12,6.627603313843807e-13,1.2535008578790474e-10,1.6435160611470354e-11,2.7346286633684345e-11,5.876616896173755e-11,8.304775126578766e-09,8.988084835902909e-10,8.5395055649661e-11,1.4467809540842849e-11,2.673586613292652e-11,2.3821498418530705e-09,1.4720558623001649e-09,4.532433307120398e-12,3.5112267465705026e-12,1.811236533556129e-10,6.974767122050734e-10,5.4642489261534826e-11,2.706063905507679e-05,1.0663502377642471e-05,7.596507984202219e-06,1.0377059964574897e-05,2.7568939374687667e-05,2.874792316769237e-05,2.8464197221476743e-05,5.769286136089431e-05,0.0,7.578394967714533e-05,8.567365006320966e-06,9.476722882388554e-06,6.836475052024195e-05,6.9722938208258e-05,2.924376121309712e-05,7.604150676252536e-06,1.5320388040947833e-05,1.143100178846494e-05,1.6853247299050005e-05,1.990638735157418e-05,1.181851399892163e-05,9.878391156011963e-06,1.1775895868252217e-05,2.4837965227076217e-05,1.4356734368535073e-05,2.2322488648922145e-05
Brown Pelican,5.354455067004377e-11,5.757519587220836e-14,5.635155037292274e-12,3.362779259481694e-09,1.0636281583435207e-08,2.0057149538235292e-10,1.0213707687494065e-10,4.682235544938697e-09,6.314628765074122e-09,5.022814864470823e-08,1.7299864287181943e-09,1.5879168629136412e-11,2.6455418872545026e-10,6.111140331509212e-13,3.810742378042785e-13,2.400709214231357e-13,2.691702821783015e-13,6.969429905952867e-12,2.3597052537696458e-12,2.1772547958789235e-13,4.118074775118512e-12,5.197350179042204e-12,1.5767621715258435e-12,1.0865131458102403e-12,1.3625034482327775e-10,7.804312749211182e-13,1.7091302613060855e-12,4.005654524244272e-13,3.505747164090444e-11,4.176961112676937e-11,3.4389286297519604e-11,7.404668009854655e-11,2.0632816734907746e-08,1.4571837061933517e-09,4.784367438555721e-11,8.391573183614117e-12,2.6113526579882406e-11,8.868584774049263e-10,2.5527212716737908e-09,2.078258561898938e-12,5.295355095209733e-12,1.1109358168822022e-10,8.945978187090077e-10,2.7569767584837673e-11,2.8592634175085018e-05,1.1051791584477006e-05,7.277190019106203e-06,4.6028961430800065e-05,2.0642889192377417e-05,4.627321004283247e-05,3.259984449451834e-05,3.181824790485241e-05,7.578394967714533e-05,0.0,5.685486258204187e-05,8.037853743863839e-06,4.44800089564131e-05,1.4947651599378144e-05,1.1179363789129615e-05,4.1327941211989334e-05,3.292160248355176e-05,1.778759438901358e-05,1.4586565115901783e-05,5.1647860975630954e-05,1.4125202394946483e-05,3.115666973686468e-05,4.0316115819322305e-05,1.916365744663754e-05,3.294428559044139e-05,1.291931342687786e-05
Fox Sparrow,6.585115448057939e-12,4.476126144670709e-14,1.8627473464794696e-12,6.542776491287267e-10,1.2633648384733832e-08,1.6104371162288853e-10,1.879494620900594e-11,2.0396384070459556e-09,8.327234064051476e-09,7.5038311915728e-09,5.01440447964456e-10,1.3848032528734429e-12,1.5560969446819745e-10,8.057122391189081e-14,1.116139320394953e-13,8.958186968310257e-15,1.246396559753098e-13,2.497863404903583e-12,6.235209172160423e-13,9.125965460770977e-14,5.778032768849294e-13,5.701228917808425e-13,1.8301697041177965e-13,4.910467211330867e-14,3.492960702891679e-11,1.942546569331354e-13,1.285627164821794e-12,9.374384230482212e-14,5.4986974084616405e-12,8.15332106686149e-12,1.0244448799605265e-11,1.60877874991915e-11,2.291048116656996e-09,1.235820387936726e-10,1.3863668135558093e-11,1.6655982121596904e-12,7.681199550870742e-12,4.73081284428196e-10,6.401070630416724e-10,2.0246067886501897e-13,6.298941394409913e-13,3.704044514800483e-11,8.938218020491466e-11,7.707171811028312e-12,1.5480341153487165e-05,3.2195290728803715e-05,5.004393652533054e-05,3.131525405779512e-05,1.740365558087262e-05,8.27986367456529e-06,4.0874113908421116e-05,1.4674919479255622e-05,8.567365006320966e-06,5.685486258204187e-05,0.0,2.769101523910556e-05,7.38605894676659e-05,1.7407429677736697e-05,2.6620354165524093e-05,5.285747253268533e-05,1.6347364419876736e-05,2.4429646364255182e-05,1.42681985620333e-05,8.585354958208e-06,3.399163780916581e-05,1.5657666344867707e-05,7.2246588563894305e-06,2.5679814960396418e-05,1.2547468785236368e-05,2.4295277739287153e-05
Black Scoter,8.667978352916676e-12,7.240892350802229e-14,6.622516291016061e-12,1.153871279673456e-09,5.8413483711687275e-09,2.175617767504559e-10,3.8230058128707986e-11,8.001432758608503e-09,2.3099881292359424e-08,1.545734214890309e-08,6.13436799911734e-10,6.486550101012736e-12,9.809926353612951e-11,5.646529169055345e-13,5.382538051000033e-13,3.1876684932663643e-14,1.4270420606280027e-13,1.849785452627201e-12,7.2087252398065e-13,1.1255593247325321e-13,3.833391180029757e-12,3.358091169075352e-12,2.4168683971285535e-13,2.745754354093342e-13,7.400414103823108e-11,6.693440879438097e-13,1.6484751715539144e-12,1.174552533211072e-13,4.444137333032617e-11,6.12585115118687e-12,2.384143135198743e-11,3.9694796362470826e-11,4.034977507961017e-09,2.932152832740407e-10,2.0779234835434032e-11,1.3907406288066223e-12,9.123050471690123e-12,1.1474777808770893e-09,9.869712063249478e-10,2.3680120776068788e-12,4.44372225831935e-12,5.529116942323831e-11,2.495847226438306e-10,1.0326610274757924e-11,3.9719063644323526e-05,1.4079163242070096e-05,1.7047535209866587e-05,3.6649431142431775e-05,1.0388236943865656e-05,2.1183008169203724e-05,2.2556500906932708e-05,1.9686127859249427e-05,9.476722882388554e-06,8.037853743863839e-06,2.769101523910556e-05,0.0,0.0001303460842617812,2.3835875737443176e-05,4.932740652863932e-05,1.3692805285971085e-05,2.2132727524206786e-05,4.274380216370408e-05,6.130133568256066e-05,2.080722951561671e-05,2.043257519444359e-05,2.178742610528763e-05,6.353980794562902e-06,1.6808147943506803e-05,3.411460403409776e-05,1.8592753579471645e-05
Gray-cheeked Thrush,3.919867036984769e-12,5.1206897100911453e-14,6.552802924647956e-13,6.381740567014694e-10,2.374257321067464e-09,1.5949581767143869e-10,2.5379010726541048e-11,4.385155810045739e-09,5.503722558514872e-09,3.860001839969824e-08,2.2295192787869715e-09,8.394038694250544e-12,1.2436669351328475e-10,2.87066578485876e-13,1.4504155893093457e-13,2.6279767902222774e-14,3.5571341337737984e-13,5.331154515966679e-12,1.0587907761762252e-12,1.4019258064018594e-13,1.5352527737573836e-12,1.4602966060078219e-12,2.566809227993644e-13,1.7040003544538714e-13,2.0366514278419403e-10,3.5044659646092834e-13,4.0653823485625874e-12,3.2493291240404783e-13,1.9466568790399837e-11,5.781480610902559e-12,2.8919587636981096e-11,2.289920655509106e-11,1.7467384356086987e-08,3.1550820268106956e-10,3.531099601119349e-11,2.2644898196173315e-12,1.4526540804334748e-11,2.5969129703268044e-10,1.6153604267383236e-09,1.405226380016821e-12,9.041889749381106e-12,1.1512026767923752e-10,5.268705764548617e-10,5.804507876071806e-12,1.8990249143762197e-05,1.014789839872829e-05,4.147123328316719e-05,2.4238125281181297e-05,1.1414857712619688e-05,2.2722242358392676e-05,1.6195843907975595e-05,2.7984430291687252e-05,6.836475052024195e-05,4.44800089564131e-05,7.38605894676659e-05,0.0001303460842617812,0.0,3.1287547467798906e-05,1.9014144805375964e-05,5.0880174073294415e-05,2.1204249741456528e-05,2.383058532612512e-05,9.372096129860222e-06,1.361096472111997e-05,1.2596720282897578e-05,6.814780967593328e-06,1.434072292687677e-05,6.865347408230789e-06,4.1884026280398086e-05,4.9760349209331765e-05
Grasshopper Sparrow,9.138322869122262e-12,8.307464190101569e-14,3.422664323457405e-12,8.958503504202405e-10,4.678276032240479e-09,2.1127880910694186e-10,2.3224524600997757e-11,7.766228418678142e-09,4.7473176746962165e-09,1.7574359549701755e-08,1.3145021044739836e-09,1.1405243941622585e-11,6.89181913803192e-11,5.709434577570607e-13,5.633297291889621e-13,1.8825096493877196e-14,2.470192305750372e-13,2.224706070932921e-12,1.9760190621392686e-12,2.0632915177656275e-13,4.782327586016854e-12,2.747009965923006e-12,1.109778466128125e-12,5.372903908537974e-13,1.9350597669112824e-10,1.2644251913177452e-12,2.4787527744946578e-12,1.1317624338775229e-13,1.629570487601711e-11,9.450748857766079e-12,2.6753686305399027e-11,7.051320200040689e-11,2.3474010493658894e-09,2.240281662783508e-10,5.419083156724846e-11,9.191318468140608e-12,1.1390607575895282e-11,7.861401770660074e-10,9.792933076098032e-10,2.242105609615432e-12,4.567479329135271e-12,5.008863424393589e-11,3.137888449834023e-10,3.1530753526679843e-11,2.5997865263574818e-05,2.362378656709683e-05,1.143668982181153e-05,3.8804886294516514e-05,1.021797066439544e-05,3.8835043174841486e-05,1.40265432936043e-05,5.570409257541173e-06,6.9722938208258e-05,1.4947651599378144e-05,1.7407429677736697e-05,2.3835875737443176e-05,3.1287547467798906e-05,0.0,6.340498970571879e-05,1.6645386827017552e-05,2.1250383549705164e-05,2.1607709032098545e-05,1.7727031195290324e-05,1.368470515517119e-05,1.1625982968036609e-05,1.0899776682444759e-05,1.9751174497714714e-05,2.886077224291855e-05,7.915517596568663e-06,2.0779488989050127e-05
Field Sparrow,6.509419846504246e-12,1.2815427989311222e-14,2.8413318771365734e-12,1.7072444649192681e-09,6.788687059781042e-09,7.671129076244833e-11,3.690849517493385e-11,5.039021921670657e-09,7.152515724651272e-09,4.325245266777354e-08,7.469517227024127e-10,7.1097239857639535e-12,8.18900825708166e-11,6.245201523638495e-13,3.478903457078759e-13,1.1762500819045489e-14,2.241730717988793e-14,3.4065424738309227e-12,1.5010506385557774e-12,1.5661813528817776e-13,4.0320565607268035e-13,4.1599032855878976e-13,1.9861230188473965e-13,3.082850466580744e-13,8.882894532969695e-11,2.6561655048726447e-13,8.821520732690731e-13,7.03450496833059e-14,2.272468217437707e-11,6.211125852220194e-12,5.104033605462957e-12,2.976147265449834e-11,3.6547830984238966e-10,2.9321291014029697e-10,1.6598426591875153e-11,2.8971334552877627e-12,1.488439717043856e-11,4.843196500251345e-10,1.1278179126610005e-09,1.8645050033135534e-13,1.3455224234659092e-12,7.503469517688628e-11,7.672283423912427e-11,1.8666191223965846e-11,2.7093214246646723e-05,2.638027410009963e-05,1.9054517546341203e-05,1.435538531752842e-05,5.741822866710048e-06,1.9139274988509344e-05,2.3795165678956352e-05,3.5531748674254274e-05,2.924376121309712e-05,1.1179363789129615e-05,2.6620354165524093e-05,4.932740652863932e-05,1.9014144805375964e-05,6.340498970571879e-05,0.0,7.025471868163088e-05,2.634510672248568e-05,1.445546613434364e-05,2.8168531095673626e-05,1.555602266613759e-05,3.270841011776397e-05,9.838509583124818e-06,2.525854083070666e-05,2.2692505288297012e-05,1.3762645624319817e-05,1.154492198298897e-05
