,t_mean,water,shore,urban,salt_marsh,salt_woody_wetland,longitude,northness_median,elevation_sd,poc_mean,fresh_marsh,pasture,trange_mean,shrub,chl_mean,eastness_sd,forest,grassland,latitude,fresh_woody_wetland,elevation_median,agriculture,slopeness_sd,northness_sd,slopeness_median,barren,eastness_median
Tufted Titmouse,0.4914499960465239,0.030753437628301843,0.1588023784861454,0.16956998761079345,0.25640173628193297,0.28371480760228046,-0.0564532267459126,-0.03592330299047216,-0.589095227830005,-0.038243163833595856,-0.10798598090113767,-0.16236262990872902,-0.24677802932369095,-0.019975141030260244,-0.04060460201626121,-0.13856981713087385,-0.09519099612306423,-0.08639491675455582,-0.5687190852651719,-0.22364214573371222,-0.5334413376386599,-0.17796915160738808,-0.11942488320849,-0.15878906269054444,-0.2292584514908795,0.06735902720587784,0.0046154937183538955
Black-bellied Whistling-Duck,0.5482899744766395,0.07375888051163415,0.16821147135826633,0.12648115942221058,0.24930242725815732,0.27202970447772806,-0.1009469783289236,-0.012380940779540673,-0.7486780126718597,-0.04563681152802682,-0.026223628122556124,-0.19145483930644042,-0.27613430383444076,-0.05300594173169642,-0.06967037493166961,-0.1705604838981689,-0.14656062504869405,-0.11109775873107584,-0.6138085804244785,-0.22206309265373808,-0.538418931212354,-0.18827291135724084,-0.16370836905590894,-0.20482055879274746,-0.2762139356668346,0.06216626013804729,0.001192695467938016
Carolina Wren,0.5160756325086598,0.04451953561255398,0.16068619639088852,0.1479491940079953,0.24150425897742603,0.2680118711065428,-0.10741899734732623,-0.028627091257515554,-0.710389381223965,-0.005968654650065186,-0.08391564146086306,-0.16039977566397276,-0.24593906765924756,-0.0149899252306357,-0.018722573495543682,-0.11255643823333843,-0.09530670302891488,-0.08322726485697357,-0.5893126962754177,-0.21212068956215005,-0.5448502764200601,-0.20260955013061083,-0.1015949713878932,-0.13942570835345244,-0.2032865478856482,0.07740716873500766,-0.0016713053390662812
Red-bellied Woodpecker,0.5388380552693942,0.0621949157208003,0.17047447992150197,0.16620619412330598,0.25646464657603174,0.2818455382465999,-0.10461166326034971,-0.035184276024266964,-0.7376041338789813,-0.022830750229822783,-0.08658175833562327,-0.15040386925807123,-0.26536361419776106,-0.038663292332946936,-0.040746828864971434,-0.13568153881356337,-0.1210982098854262,-0.10117875163092271,-0.5938915956594656,-0.22499865617498452,-0.5484170350354162,-0.1949100141690513,-0.13435063620758098,-0.16291297413613073,-0.24371107419179255,0.06875620262122728,-0.0020195997892171785
Northern Mockingbird,0.3336729900535209,0.016092764748148677,0.08240740148430925,0.12008048280074372,0.1744251731345223,0.18640585467936252,0.08272190845457053,0.01074773144807148,-0.45002059838561886,-0.1424671001874579,-0.03632947188103027,-0.19649408268191756,-0.40642154545406345,-0.061826014556686994,-0.14949377649949447,-0.16299939985013542,-0.1677741198809385,-0.06278040225370625,-0.521845610790764,-0.21834459559960614,-0.5748401075930466,-0.05207705992799968,-0.07826747936687868,-0.14870926017014122,-0.17612723010805917,0.034768024227475346,0.009390257272420785
Mallard,0.4303337354359406,0.06962501000096277,0.20990993462702986,0.20329701904920564,0.3436575363661338,0.3432112384415386,0.1398714089071139,0.00577584009798191,-0.3668490589687331,-0.048945264016841114,-0.12136299105502249,-0.34354066571996783,-0.4884588028544549,-0.16191225624782538,-0.23049281248019252,-0.2688306853633051,-0.2172424090553662,-0.15710242025677398,-0.6598477614502152,-0.3036972198863392,-0.7104511061684268,-0.19528155326997093,-0.16253163692074024,-0.24262374512767831,-0.3133858638088018,-0.019811453271592925,-0.02835563808455779
Ruby-throated Hummingbird,0.5543313899669415,0.09036307555307246,0.22955449975919806,0.2633213356914581,0.39927094447234635,0.4034107341056451,0.1688608389887755,-0.012725687437116726,-0.5459578312502357,-0.10410497460956297,-0.20079316195972488,-0.3521919780427805,-0.5812178193361713,-0.20280860012943264,-0.2563971324809258,-0.3043542841419227,-0.24203795718771387,-0.19742489642152727,-0.761758695476242,-0.3735319868885276,-0.8227706035016861,-0.24693701629455814,-0.19833662347447348,-0.2757049066017628,-0.3719612610463849,-0.034187583183759425,-0.0008886538234868691
Yellow-rumped Warbler,0.5530339055532697,0.11167508406240591,0.22582714332178308,0.1851597996936698,0.32875768993866905,0.32776255263143644,0.10084970295432248,0.0004490620244135592,-0.6629190050473135,-0.07795403133429014,-0.14554448495055108,-0.3416375350808698,-0.5522006619717353,-0.20550121539825206,-0.23248770750276906,-0.26637546784376065,-0.2644304937905754,-0.20595405585311263,-0.7348066193837686,-0.31580956339462474,-0.7771680691235812,-0.252428453307256,-0.1825210236754697,-0.24514081018440662,-0.34007055276399945,-0.04454137422615472,-0.0037928263692316214
Great Egret,0.6317659646015307,0.14997339701808896,0.2551153150177004,0.14206182534244666,0.320474272335999,0.3108448324981613,-0.003437786651687241,-0.0170309789735209,-0.674882358752305,-0.014476372296020524,-0.12196851852519097,-0.30011158313031744,-0.4321364223288416,-0.22009236545305053,-0.20769847090625707,-0.27402465905074513,-0.2998247817831933,-0.24444800526077692,-0.7250951789097184,-0.28509451191750623,-0.6797988785488476,-0.3007604880500515,-0.232034784457597,-0.28265855085181546,-0.4036163439413524,-0.02907290574103762,-0.013242621472078882
Red-winged Blackbird,0.5581573999368205,0.1457797320585491,0.2439514262540407,0.18160146994443785,0.32604131108586265,0.3170987757516463,0.0750308623034863,-0.004645371422584039,-0.7152359306878724,-0.078511565956145,-0.10671310066350889,-0.27829861364782077,-0.48526425348428925,-0.23611430895042562,-0.21698645749431844,-0.26471475740790645,-0.31637676231628376,-0.232691324624684,-0.6627763661991627,-0.2690822414490119,-0.6726093378434593,-0.24376921808625515,-0.20588235983897463,-0.2451457957372061,-0.3715648593698966,-0.04196807979488677,-0.007892584972427712
Pied-billed Grebe,0.08841077370076918,0.039045860610830846,0.01427548276642727,-0.06055982280555783,-0.01718454541556397,-0.02372857331313468,-0.042124393089489606,0.003049615802049826,-0.10172777682221548,0.02949485743324655,0.021253620964874792,-0.037397070945633853,0.012341142056537299,-0.0551411429848153,-0.04408407307557959,-0.013922839884092332,-0.05952284882770612,-0.05843068791927211,-0.05999375068488338,-0.02468070398842707,0.0007355428477022617,-0.05242479716874167,-0.024441965646579755,-0.0436932415772038,-0.05480207010611176,-0.037793960098449444,-0.011100815837516825
Boat-tailed Grackle,0.08451313486003617,0.05007099041846547,0.011583077605210918,-0.08335010130545371,-0.009760192971576907,-0.024401878518496806,-0.0386437602206726,0.001889936192138149,-0.08093793433710571,0.04314719922925626,0.028406104753240895,-0.06430881930690903,-0.008582075192948957,-0.08303446532974978,-0.07592572100642085,-0.04744271173352708,-0.08008214027206689,-0.0813264273407051,-0.06215901149827439,-0.05933771460387406,-0.0011783828117435053,-0.05505954786279951,-0.04068903332297812,-0.06935995882290401,-0.07970999695724457,-0.06983890212899917,0.004002122607009905
Eastern Kingbird,0.05237456815555864,0.061427299389815976,0.010934630243040668,-0.054975253579272354,-0.0005192738784978245,-0.004964171317351031,-0.03864861129814357,0.009955201681403179,-0.04985594886354919,0.04287885330730431,0.018851556540584197,-0.039217282515354925,0.014913502023064185,-0.05288465088498577,-0.0416144510676721,-0.02339376399712391,-0.04865059811311151,-0.05095238467146339,-0.03169725020343559,-0.033272835114347844,0.008637743763907895,-0.03899711897767199,-0.03142152436405737,-0.04643730907224318,-0.04956133544504189,-0.053152636530465217,0.010495534127883906
Brown Thrasher,0.31703012545104253,-0.007187603001666554,0.002216858782764454,0.011754831251697524,0.008876104844275933,0.049904918750861234,-0.24017059125412682,-0.0353418213833223,-0.6839871064587125,0.01247562358230682,0.030013757120491463,0.01879299531966952,-0.01197356983229429,0.1135843671458857,0.11055602533060255,0.05226054825123762,0.05059445653157815,0.04132371773041169,-0.28307545552141566,-0.053231613207754415,-0.2093456832390223,-0.08522956285248745,-0.005703915403581884,0.005766876370306613,-0.0018023272731211917,0.13706312172289972,0.022348056083432852
White Ibis,0.36897782553169545,0.09819110303800678,0.10201298839177947,-0.04104347109008792,0.04242588342189357,0.046282483807378635,-0.318696765925067,-0.017689638442541365,-0.5052852858280857,0.12076212406529825,0.05550755276178677,0.05043952718669595,0.17218222316724682,0.028082406681851996,0.07808983745753828,-0.031964005700314976,-0.07216144492741339,-0.07513061010017362,-0.2093564316133715,-0.00913593399813375,-0.006119093737007563,-0.1269378712506,-0.11224290446397757,-0.11066733456628011,-0.16149241509067902,0.0786473206161527,0.03086452693446974
Bald Eagle,0.18450947105998686,0.05482212589319283,0.057195277797749584,-0.04600237367645554,0.03927377474603296,0.04091102680427267,-0.15692401194456482,-0.014263098694934672,-0.2530693276098747,0.0721424478170716,0.05097263335574496,-0.0026884953309494622,0.07258598107065074,-0.028558325812214094,0.005727369510864481,0.008785452676555764,-0.05536025823973565,-0.0630441305060678,-0.09670518526661166,-0.021231968158590058,0.006680430129810339,-0.07856875390997385,-0.04504503338509992,-0.0394409675378971,-0.07894245277617874,0.0012691994009977052,-0.022475793058871315
Anhinga,0.28296633900336776,0.07542778676307599,0.10013102122691794,-0.005431182314141506,0.0905285296477866,0.09251901791162441,-0.2342138745421063,-0.01710868853248675,-0.3692536919655499,0.10193731854602663,0.0578529224214353,0.018950766064772917,0.12670340656488605,-0.024623958523747037,0.032713881045581164,-0.025034298969877262,-0.07357754262298567,-0.08220161797487632,-0.15762499965194474,-0.05546044259205104,0.008907696012820323,-0.10231040093490955,-0.09996837713956444,-0.09158930933234209,-0.1363932524816127,0.043269923250318275,-0.009387787810952059
Little Blue Heron,0.26646914718504205,0.07195028789698098,0.0962532663476585,-0.0069222774182064245,0.08663299738557305,0.08927276854565547,-0.2296692631140498,-0.020571858360705263,-0.3571198003588079,0.10082996364603877,0.05138261407692793,0.02704422559336602,0.12840958905588837,-0.010662198329130216,0.04547251314396722,-0.016560521362788978,-0.05893705180197385,-0.06966850391755086,-0.14489151619419438,-0.04212582948251626,0.011471077767990478,-0.09756321162257975,-0.0855442044466616,-0.07797916228528814,-0.12361739674748722,0.04501459352563776,-0.010645251730259273
Brown-headed Nuthatch,0.18781541502994756,0.006348433006373997,0.03254946041403927,-0.014676728325565831,0.03127296908481602,0.05757060530693695,-0.20920543306117387,-0.033105072932058416,-0.3131254570019078,0.06709473504641425,0.02052339399362486,0.06932641366544243,0.14368718987211007,0.07798472624535825,0.11560346153546482,0.05154891757823732,0.055100137195560846,0.013545328199212472,-0.07720066213432306,-0.0052171655997020625,0.025002720246464473,-0.07208458659920226,-0.019262458176120083,-0.01698439129865547,-0.027830249189114458,0.07449392998520732,0.01977465533402478
