Class,Label,Accuracy,F1 Score,Precision,Recall,Positive Rate,Non-Zero Rate
135,Gray Flycatcher,0.9996537995499394,0.0,0.0,0.0,0.00034620045,0.00041546930720493024
136,Gray Kingbird,0.9975765968495759,0.0,0.0,0.0,0.002423403,0.0025447495066301977
137,Gray-cheeked Thrush,0.9934221914488489,0.109375,0.13725490196078433,0.09090909090909091,0.004442906,0.005028909739293009
138,Graylag Goose,0.9983266978247072,0.0,0.0,0.0,0.0016733021,0.0015320430703181802
139,Great Black-backed Gull,0.998788298424788,0.0,0.0,0.0,0.0012117015,0.0013329640272824845
140,Great Blue Heron,0.7411574635047026,0.577191328934967,0.46052037900436155,0.7730371118404443,0.22855,0.2253488211058408
141,Great Crested Flycatcher,0.6932087011713115,0.30140585993956115,0.19212730318257956,0.6989640463132236,0.09468582,0.09534155039296471
142,Great Egret,0.748543073105995,0.5486743993371996,0.4358341559723593,0.7403577417551704,0.20645086,0.20345878198248105
143,Great Horned Owl,0.6865154924701402,0.05199790612458559,0.02728438015015565,0.5518518518518518,0.015579021,0.015528165356784267
144,Great-tailed Grackle,0.9998845998499798,0.0,0.0,0.0,0.00011540015,9.521171623446318e-05
145,Greater Scaup,0.9973457965495355,0.0,0.0,0.0,0.0026542034,0.0025274382854966588
146,Greater White-fronted Goose,0.9997691996999596,0.0,0.0,0.0,0.0002308003,0.000432780528338469
147,Greater Yellowlegs,0.7169811320754716,0.09751609935602576,0.05163678877630554,0.8745874587458746,0.017483123,0.0163677595817609
148,Green Heron,0.7165195314753909,0.21050940061063794,0.12351499151423723,0.7119565217391305,0.053084068,0.05125852577640827
149,Green-winged Teal,0.995268593849172,0.0,0.0,0.0,0.004673706,0.0034103105633071355
150,Groove-billed Ani,0.9997114996249495,0.0,0.0,0.0,0.00028850036,0.0004933698023058547
151,Gull-billed Tern,0.7285788471525013,0.0743801652892562,0.03884892086330935,0.8709677419354839,0.012520916,0.01242080116331406
152,Hairy Woodpecker,0.9950377935491316,0.0,0.0,0.0,0.0049045063,0.004570162379254232
153,Harris's Sparrow,0.9997691996999596,0.0,0.0,0.0,0.0002308003,0.00012117854793477132
154,Helmeted Guineafowl,0.9998268997749697,0.0,0.0,0.0,0.00017310023,9.521171623446318e-05
155,Henslow's Sparrow,0.9991921989498587,0.0,0.0,0.0,0.000807801,0.0007357268981753973
156,Hermit Thrush,0.7148462293000981,0.09354365370506236,0.04971729381945798,0.7894736842105263,0.018637124,0.018696118824221862
157,Hooded Merganser,0.6700132710172523,0.0305136463807425,0.015795015795015795,0.44776119402985076,0.011597715,0.010776235155627877
158,Hooded Warbler,0.7357336564537534,0.15777859507171754,0.08798195242001641,0.7633451957295374,0.03242744,0.033159644081293495
159,Horned Grebe,0.7314061508279961,0.05405405405405406,0.027900146842878122,0.8636363636363636,0.008885812,0.009382681854378008
160,Horned Lark,0.99994229992499,0.0,0.0,0.0,5.7700076e-05,0.00019907904303569573
161,House Finch,0.7312330506029657,0.5478547854785478,0.4346219005082396,0.7408768705697033,0.21977958,0.2208305923899872
162,House Sparrow,0.7335410536033696,0.42959486166007904,0.3058927000879508,0.721277478224803,0.13911489,0.1416750337568812
163,Iceland Gull,1.0,0.0,0.0,0.0,0.0,9.521171623446318e-05
164,Inca Dove,0.7044025157232704,0.07942497753818509,0.04195140470766894,0.7441077441077442,0.017136922,0.01578783367378735
165,Indian Peafowl,0.9998845998499798,0.0,0.0,0.0,0.00011540015,0.00023370148530277326
166,Indigo Bunting,0.7228088396514916,0.22139384116693678,0.13116957941232957,0.7092419522326064,0.05556517,0.05544784129072465
167,Kentucky Warbler,0.9867866828226877,0.24918032786885247,0.20994475138121546,0.3064516129032258,0.0071548093,0.007322646539486896
168,Killdeer,0.6928048006462408,0.32057172026544156,0.20532940984142553,0.7306573589296103,0.09918643,0.09586088702697088
169,King Rail,0.9944030927240205,0.11009174311926606,0.2608695652173913,0.06976744186046512,0.0049622064,0.004708652148322542
170,Lark Sparrow,0.9993075990998789,0.0,0.0,0.0,0.0006924009,0.0007703493404424748
171,Laughing Gull,0.7771623103110034,0.6666091160220995,0.5643911708814501,0.8140417457305503,0.27367145,0.2736557836789807
172,LeConte's Sparrow,0.9998845998499798,0.0,0.0,0.0,0.00011540015,0.00015580099020184884
173,Least Flycatcher,0.998845998499798,0.0,0.0,0.0,0.0011540015,0.0016964996710867985
174,Least Sandpiper,0.7416767641797934,0.13688066319645267,0.07411273486430063,0.8942065491183879,0.02290693,0.020730187307412665
175,Least Tern,0.762679591483469,0.21701884637350086,0.12364425162689804,0.8864696734059098,0.03710115,0.03847418896928989
